Feature,Importance
V14,0.19767877016457822
V10,0.14066156041633035
V4,0.1190963414423735
V12,0.1145575896939323
V17,0.08696894966545657
V3,0.06235613750788838
V11,0.05644838328347485
V16,0.05046130581515863
V2,0.027287521735356302
V7,0.021412071911454857
V9,0.02132974434638094
V21,0.015090170237497895
V6,0.008323791518181568
V1,0.007854629218769504
Time,0.006384701159555113
V5,0.0058773716170381655
V8,0.005780953038246079
V27,0.00542442231535347
V28,0.005304070334386828
V18,0.00519381876506293
V19,0.0045733009263411745
V13,0.0045449364160798705
V20,0.0040647502507338345
Amount,0.0037866526081539982
V22,0.0036432917822465747
V26,0.0035728287632255736
V15,0.003563179994005111
V24,0.003044205086610121
V25,0.002997539122913788
V23,0.002717010863213596
